epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,1620.51,1.19569,0.71166,1.2155,0.93122,0.88967,0.94634,0.59215,1.40838,0.67484,1.42948,0.0086536,0.0086536,0.0086536
70,1649.8,1.18296,0.71965,1.23128,0.91706,0.91096,0.95132,0.59628,1.38062,0.66534,1.40949,0.0086338,0.0086338,0.0086338
71,1678.84,1.18506,0.70758,1.2241,0.93859,0.90782,0.94848,0.59615,1.42138,0.68832,1.44137,0.008614,0.008614,0.008614
72,1708.17,1.17856,0.68866,1.21502,0.91399,0.87989,0.94098,0.57693,1.44783,0.72952,1.45403,0.0085942,0.0085942,0.0085942
73,1737.25,1.16897,0.70147,1.2209,0.91499,0.90683,0.95051,0.60651,1.38384,0.66892,1.417,0.0085744,0.0085744,0.0085744
74,1765.92,1.17155,0.69113,1.20434,0.92559,0.90972,0.9494,0.59582,1.42855,0.70647,1.43201,0.0085546,0.0085546,0.0085546
75,1794.78,1.15312,0.6811,1.20048,0.95319,0.895,0.95584,0.60738,1.39021,0.6599,1.4354,0.0085348,0.0085348,0.0085348
76,1823.89,1.1596,0.68536,1.21593,0.93107,0.92311,0.96157,0.59905,1.39053,0.64384,1.42611,0.008515,0.008515,0.008515
77,1852.77,1.15067,0.68549,1.20552,0.9372,0.9105,0.95471,0.60825,1.38601,0.66993,1.40734,0.0084952,0.0084952,0.0084952
78,1881.52,1.15194,0.67905,1.20295,0.94728,0.91511,0.95473,0.60612,1.38756,0.64362,1.42635,0.0084754,0.0084754,0.0084754
79,1910.29,1.13638,0.67617,1.19423,0.9388,0.90668,0.95191,0.60853,1.36754,0.63531,1.4013,0.0084556,0.0084556,0.0084556
80,1939.3,1.13918,0.66653,1.19919,0.9445,0.90386,0.95776,0.619,1.35543,0.64131,1.39758,0.0084358,0.0084358,0.0084358
81,1968.23,1.13477,0.66817,1.19317,0.943,0.89863,0.95386,0.61514,1.37456,0.65852,1.4034,0.008416,0.008416,0.008416
